VEHICLE_DATA_HISTORY_ID,VEHICLE_ID,VEHICLE_DATA_ID,BEARING,CURRENT_STOP_SEQUENCE,LATITUDE,LONGITUDE,SPEED,UPDATED_AT,DIRECTION_ID,ROUTE_ID,LABEL,CURRENT_STATUS,STOP_ID,DIRECTION_ID,DIRECTION,ROUTE_ID,DESCRIPTION,FARE_CLASS,LONG_NAME,SHORT_NAME,DIRECTION_ID,DESTINATION_ID,LINE_ID,COLOR,TEXT_COLOR,STATUS_ID,STATUS,STOP_ID,NAME,ADDRESS,DESCRIPTION,LATITUDE,LONGITUDE,MUNICIPALITY_ID,AT_STREET,ON_STREET,MUNICIPALITY_ID,MUNICIPALITY,STREET_ID,STREET,STREET_ID,STREET,LINE_ID,LONG_NAME,SHORT_NAME,COLOR,TEXT_COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR,COLOR_ID,COLOR
"240","y0679","2267","201","61","42.3736572266","-71.2631378174","None","2019-08-16 02:27:54","2","70","0679","2","8850","2","0","70","Local Bus","Local Bus","Cedarwood - Central Square, Cambridge","70","None","None","line-7070A170","8","9","2","IN_TRANSIT_TO","8850","Tavern Rd @ Weston St","None","None","42.373043","-71.263594","9","None","None","9","Waltham","None","None","None","None","line-7070A170","Waltham - Central Square, Cambridge or Dudley","70/70A/170","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"66","y0750","2093","224","17","42.3963813782","-71.0277328491","None","2019-08-16 02:27:55","1","117","0750","2","5724","1","1","117","Key Bus","Local Bus","Wonderland - Maverick via Beach Street","117","None","None","line-114116117","8","9","2","IN_TRANSIT_TO","5724","Broadway @ Cary Ave","None","None","42.396061","-71.028454","18","None","None","18","Chelsea","None","None","None","None","line-114116117","Wonderland or Chelsea - Maverick","114/116/117","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"93","y1421","2120","90","43","42.3619804382","-71.1430435181","None","2019-08-16 02:27:56","1","70","1421","2","1044","1","1","70","Local Bus","Local Bus","Cedarwood - Central Square, Cambridge","70","None","None","line-7070A170","8","9","2","IN_TRANSIT_TO","1044","Western Ave @ Richardson St","None","None","42.361897","-71.143279","1","None","None","1","Boston","None","None","None","None","line-7070A170","Waltham - Central Square, Cambridge or Dudley","70/70A/170","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"97","y0733","2124","0","12","42.4008102417","-71.1356277466","None","2019-08-16 02:27:55","2","77","0733","2","2274","2","0","77","Key Bus","Local Bus","Arlington Heights - Harvard","77","None","None","line-77","8","9","2","IN_TRANSIT_TO","2274","Massachusetts Ave @ Gladstone St","None","None","42.400642","-71.135166","8","None","None","8","Cambridge","None","None","None","None","line-77","Arlington Heights - Harvard","77","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"332","G-10151","2359","60","590","42.3517990112","-71.0708084106","None","2019-08-16 02:27:10","1","Green-B","3878-3698","3","70158","1","1","Green-B","Rapid Transit","Rapid Transit","Green Line B","B","None","None","line-Green","4","2","3","INCOMING_AT","70158","Boylston","None","Boylston - Green Line - Park Street & North","42.352531","-71.064682","1","None","None","1","Boston","None","None","None","None","line-Green","Green Line","None","4","2","4","00843D","2","FFFFFF","4","00843D","2","FFFFFF"
"24","y0661","2051","268","10","42.3734016418","-71.097984314","None","2019-08-16 02:27:53","2","69","0661","2","1424","2","0","69","Local Bus","Local Bus","Harvard - Lechmere","69","None","None","line-69","8","9","2","IN_TRANSIT_TO","1424","Cambridge St @ Prospect St","None","None","42.373396","-71.09798","8","None","None","8","Cambridge","None","None","None","None","line-69","Harvard - Lechmere","69","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"322","R-545F37D1","2349","330","100","42.2959289551","-71.0498962402","None","2019-08-16 02:26:36","1","Red","1632","2","70096","1","1","Red","Rapid Transit","Rapid Transit","Red Line","None","None","None","line-Red","1","2","2","IN_TRANSIT_TO","70096","JFK/UMass","None","JFK/UMass - Red Line - Alewife (from Braintree)","42.320685","-71.052391","1","None","None","1","Boston","None","None","None","None","line-Red","Red Line","None","1","2","1","DA291C","2","FFFFFF","1","DA291C","2","FFFFFF"
"197","y1675","2224","0","17","42.3221664429","-71.112159729","None","2019-08-16 02:27:43","2","39","1675","2","61365","2","0","39","Key Bus","Local Bus","Forest Hills - Back Bay Station","39","None","None","line-39","8","9","2","IN_TRANSIT_TO","61365","S Huntington Ave @ Perkins St","None","None","42.32172","-71.112195","1","None","None","1","Boston","None","None","None","None","line-39","Forest Hills - Back Bay Station","39","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"302","y1894","2329","71","22","42.351524353","-71.1431427002","None","2019-08-16 02:27:55","1","57","1894","2","924","1","1","57","Key Bus","Local Bus","Watertown Yard - Kenmore","57","None","None","line-5757A","8","9","2","IN_TRANSIT_TO","924","Cambridge St @ Gordon St","None","None","42.352363","-71.140511","1","None","None","1","Boston","None","None","None","None","line-5757A","Watertown Yard or Oak Square - Kenmore","57/57A","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
"195","y0806","2222","53","7","42.127117157","-71.0100479126","None","2019-08-16 02:27:54","1","230","0806","2","3993","1","1","230","Local Bus","Local Bus","Montello Commuter Rail Station - Quincy Center","230","None","None","line-230","8","9","2","IN_TRANSIT_TO","3993","S Franklin St @ Francis St","None","None","42.126619","-71.010763","5","None","None","5","Holbrook","None","None","None","None","line-230","Montello Commuter Rail Station - Quincy Center","230","8","9","8","FFC72C","9","000000","8","FFC72C","9","000000"
